date,observed,scenario1_earlier_vaccination,scenario2_delayed_lockdown
2020-01-25,1.0,1.0,1.0
2020-02-01,6.0,6.0,6.0
2020-02-08,4.0,4.0,4.0
2020-02-15,2.0,2.0,2.0
2020-02-22,2.0,2.0,2.0
2020-02-29,9.0,9.0,9.0
2020-03-07,378.0,378.0,378.0
2020-03-14,2575.0,2575.0,2575.0
2020-03-21,23047.0,21318.475000000002,23047.0
2020-03-28,101392.0,86183.2,101392.0
2020-04-04,196923.0,152615.325,196923.0
2020-04-11,221353.0,154947.09999999998,221353.0
2020-04-18,198164.0,138714.8,198164.0
2020-04-25,205783.0,144048.09999999998,205783.0
2020-05-02,192979.0,135085.3,192979.0
2020-05-09,175739.0,123017.29999999999,175739.0
2020-05-16,155448.0,108813.59999999999,155448.0
2020-05-23,153586.0,107510.2,142067.05000000002
2020-05-30,145391.0,101773.7,123582.34999999999
2020-06-06,149650.0,104755.0,115978.75
2020-06-13,148785.0,104149.5,104149.5
2020-06-20,182855.0,127998.49999999999,127998.49999999999
2020-06-27,260232.0,182162.4,182162.4
2020-07-04,336588.0,235611.59999999998,235611.59999999998
2020-07-11,404294.0,283005.8,283005.8
2020-07-18,453422.0,317395.39999999997,317395.39999999997
2020-07-25,462065.0,323445.5,323445.5
2020-08-01,435247.0,304672.89999999997,304672.89999999997
2020-08-08,388787.0,272150.89999999997,272150.89999999997
2020-08-15,391741.0,274218.7,274218.7
2020-08-22,301770.0,211239.0,211239.0
2020-08-29,290576.0,203403.19999999998,203403.19999999998
2020-09-05,286889.0,200822.3,200822.3
2020-09-12,244796.0,171357.19999999998,171357.19999999998
2020-09-19,290320.0,203224.0,203224.0
2020-09-26,293916.0,205741.19999999998,205741.19999999998
2020-10-03,300773.0,210541.09999999998,210541.09999999998
2020-10-10,334603.0,234222.09999999998,234222.09999999998
2020-10-17,388624.0,272036.8,272036.8
2020-10-24,485474.0,318592.3125,339831.8
2020-10-31,572162.0,350449.225,400513.39999999997
2020-11-07,777428.0,442162.175,544199.6
2020-11-14,1028914.0,540179.85,720239.7999999999
2020-11-21,1205675.0,580231.09375,843972.5
2020-11-28,1181342.0,516837.12499999994,826939.3999999999
2020-12-05,1368531.0,538859.0812499999,957971.7
2020-12-12,1513041.0,529564.35,1059128.7
2020-12-19,1553006.0,543552.1,1019160.1875
2020-12-26,1365258.0,477840.3,836220.525
2021-01-02,1500475.0,525166.25,853395.15625
2021-01-09,1733230.0,606630.5,909945.75
2021-01-16,1561781.0,546623.35,751607.10625
2021-01-23,1222853.0,427998.55,534998.1875
2021-01-30,1056650.0,369827.5,416055.9375
2021-02-06,851488.0,298020.8,298020.8
2021-02-13,659843.0,230945.05,230945.05
2021-02-20,473842.0,165844.69999999998,165844.69999999998
2021-02-27,482933.0,169026.55,169026.55
2021-03-06,423908.0,148367.8,148367.8
2021-03-13,380130.0,133045.5,133045.5
2021-03-20,386441.0,135254.35,135254.35
2021-03-27,431725.0,151103.75,151103.75
2021-04-03,459857.0,160949.94999999998,160949.94999999998
2021-04-10,479845.0,167945.75,167945.75
2021-04-17,478568.0,167498.8,167498.8
2021-04-24,413947.0,144881.44999999998,144881.44999999998
2021-05-01,349163.0,122207.04999999999,122207.04999999999
2021-05-08,293592.0,102757.2,102757.2
2021-05-15,236722.0,82852.7,82852.7
2021-05-22,180812.0,63284.2,63284.2
2021-05-29,145539.0,50938.649999999994,50938.649999999994
2021-06-05,101879.0,35657.649999999994,35657.649999999994
2021-06-12,98924.0,34623.399999999994,34623.399999999994
2021-06-19,80728.0,28254.8,28254.8
2021-06-26,86666.0,30333.1,30333.1
2021-07-03,91045.0,31865.749999999996,31865.749999999996
2021-07-10,134043.0,46915.049999999996,46915.049999999996
2021-07-17,223088.0,78080.79999999999,78080.79999999999
2021-07-24,363979.0,127392.65,127392.65
2021-07-31,554161.0,193956.34999999998,193956.34999999998
2021-08-07,778862.0,272601.7,272601.7
2021-08-14,911735.0,319107.25,319107.25
2021-08-21,1047678.0,366687.3,366687.3
2021-08-28,1088180.0,380863.0,380863.0
2021-09-04,1153281.0,403648.35,403648.35
2021-09-11,1041459.0,364510.64999999997,364510.64999999997
2021-09-18,1021721.0,357602.35,357602.35
2021-09-25,834482.0,292068.69999999995,292068.69999999995
2021-10-02,759422.0,265797.7,265797.7
2021-10-09,667158.0,233505.3,233505.3
2021-10-16,589510.0,206328.5,206328.5
2021-10-23,512247.0,179286.44999999998,179286.44999999998
2021-10-30,506191.0,177166.84999999998,177166.84999999998
2021-11-06,516295.0,180703.25,180703.25
2021-11-13,569444.0,199305.4,199305.4
2021-11-20,647456.0,226609.59999999998,226609.59999999998
2021-11-27,505935.0,177077.25,177077.25
2021-12-04,848599.0,297009.64999999997,297009.64999999997
2021-12-11,832418.0,291346.3,291346.3
2021-12-18,911995.0,319198.25,319198.25
2021-12-25,1373182.0,480613.69999999995,480613.69999999995
2022-01-01,2875294.0,1006352.8999999999,1006352.8999999999
2022-01-08,4975905.0,1741566.75,1741566.75
2022-01-15,5648740.0,1977058.9999999998,1977058.9999999998
2022-01-22,5035610.0,1762463.5,1762463.5
2022-01-29,3747626.0,1311669.0999999999,1311669.0999999999
2022-02-05,2106639.0,737323.6499999999,737323.6499999999
2022-02-12,1259908.0,440967.8,440967.8
2022-02-19,727898.0,254764.3,254764.3
2022-02-26,464425.0,162548.75,162548.75
2022-03-05,329172.0,115210.2,115210.2
2022-03-12,245135.0,85797.25,85797.25
2022-03-19,215105.0,75286.75,75286.75
2022-03-26,210000.0,73500.0,73500.0
2022-04-02,198717.0,69550.95,69550.95
2022-04-09,243938.0,85378.29999999999,85378.29999999999
2022-04-16,234353.0,82023.54999999999,82023.54999999999
2022-04-23,343509.0,120228.15,120228.15
2022-04-30,379813.0,132934.55,132934.55
2022-05-07,519565.0,181847.75,181847.75
2022-05-14,578420.0,202447.0,202447.0
2022-05-21,811696.0,284093.6,284093.6
2022-05-28,714612.0,250114.19999999998,250114.19999999998
2022-06-04,772984.0,270544.39999999997,270544.39999999997
2022-06-11,734931.0,257225.84999999998,257225.84999999998
2022-06-18,731145.0,255900.74999999997,255900.74999999997
2022-06-25,707768.0,247718.8,247718.8
2022-07-02,815270.0,285344.5,285344.5
2022-07-09,733005.0,256551.74999999997,256551.74999999997
2022-07-16,946258.0,331190.3,331190.3
2022-07-23,862048.0,301716.8,301716.8
2022-07-30,938061.0,328321.35,328321.35
2022-08-06,782948.0,274031.8,274031.8
2022-08-13,807615.0,282665.25,282665.25
2022-08-20,599061.0,209671.34999999998,209671.34999999998
2022-08-27,662053.0,231718.55,231718.55
2022-09-03,551318.0,192961.3,192961.3
2022-09-10,495719.0,173501.65,173501.65
2022-09-17,409750.0,143412.5,143412.5
2022-09-24,402920.0,141022.0,141022.0
2022-10-01,326037.0,114112.95,114112.95
2022-10-08,301251.0,105437.84999999999,105437.84999999999
2022-10-15,251041.0,87864.34999999999,87864.34999999999
2022-10-22,259175.0,90711.25,90711.25
2022-10-29,262273.0,91795.54999999999,91795.54999999999
2022-11-05,286262.0,100191.7,100191.7
2022-11-12,262380.0,91833.0,91833.0
2022-11-19,312390.0,109336.5,109336.5
2022-11-26,260177.0,91061.95,91061.95
2022-12-03,410864.0,143802.4,143802.4
2022-12-10,446748.0,156361.8,156361.8
2022-12-17,480581.0,168203.34999999998,168203.34999999998
2022-12-24,472188.0,165265.8,165265.8
2022-12-31,390378.0,136632.3,136632.3
2023-01-07,501799.0,175629.65,175629.65
2023-01-14,375204.0,131321.4,131321.4
2023-01-21,354555.0,124094.24999999999,124094.24999999999
2023-01-28,278015.0,97305.25,97305.25
2023-02-04,329036.0,115162.59999999999,115162.59999999999
2023-02-11,255568.0,89448.79999999999,89448.79999999999
2023-02-18,275095.0,96283.25,96283.25
2023-02-25,246552.0,86293.2,86293.2
2023-03-04,269680.0,94388.0,94388.0
2023-03-11,155727.0,54504.45,54504.45
